parameter,estimate,std_error
mu,0.0007350841184918953,0.00013082630696353265
sigma,0.010507208526347383,0.00019799990048343494
theta,-0.00032223495887404675,0.00022022976285272463
nu,1.1791598945684822,0.058609292583184765
